technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode,num_seen_cells,cell_tower_distance
4G_LTE,-103,2147483647,-103,-19,-73,2147483647,37,1000,204,8,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351001642,17543.285207005,2024-08-22 14:23:21.642000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,1.0,
4G_LTE,-100,2147483647,-100,-17,-73,2147483647,40,1000,398,8,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.56295096284308,33.19868943381731,263.66901423408314,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-96,2147483647,-96,-11,-67,2147483647,44,9820,467,8,133656214,28170,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",310,410,1,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-102,2147483647,-102,-14,-77,2147483647,38,67086,66,8,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-101,2147483647,-101,-13,-77,2147483647,39,67086,4,8,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-92,2147483647,-92,-10,-73,2147483647,48,5110,409,8,2147483647,2147483647,3,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-97,2147483647,-97,-16,-71,2147483647,43,5110,9,8,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-103,2147483647,-103,-20,-71,2147483647,37,5110,449,8,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-109,2147483647,-109,-18,-81,2147483647,31,9820,151,8,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-103,2147483647,-103,-19,-73,2147483647,37,1000,204,8,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-99,2147483647,-99,-15,-73,2147483647,41,1000,434,8,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-102,2147483647,-102,-18,-73,2147483647,38,1000,307,8,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-107,2147483647,-107,-15,-81,2147483647,33,9820,322,8,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-104,2147483647,-104,-16,-77,2147483647,36,67086,22,8,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-102,2147483647,-102,-18,-73,2147483647,38,1000,307,8,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-100,2147483647,-100,-17,-73,2147483647,40,1000,398,8,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-103,2147483647,-103,-20,-71,2147483647,37,5110,449,8,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-99,2147483647,-99,-15,-73,2147483647,41,1000,434,8,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-97,2147483647,-97,-16,-71,2147483647,43,5110,9,8,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-92,2147483647,-92,-10,-73,2147483647,48,5110,409,8,2147483647,2147483647,3,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-103,2147483647,-103,-19,-73,2147483647,37,1000,204,8,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-102,2147483647,-102,-14,-77,2147483647,38,67086,66,8,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-104,2147483647,-104,-16,-77,2147483647,36,67086,22,8,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-109,2147483647,-109,-18,-81,2147483647,31,9820,151,8,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-107,2147483647,-107,-15,-81,2147483647,33,9820,322,8,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-96,2147483647,-96,-11,-67,2147483647,44,9820,467,8,133656214,28170,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",310,410,1,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-101,2147483647,-101,-13,-77,2147483647,39,67086,4,8,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724351002645,17544.287971693,2024-08-22 14:23:22.645000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,13.0,
4G_LTE,-109,2147483647,-109,-20,-75,2147483647,31,9820,151,8,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724351003653,17545.296473723,2024-08-22 14:23:23.653000,-97.5627796869053,33.1984568282932,263.7535037466423,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,16.0,
4G_LTE,-97,2147483647,-97,-12,-65,2147483647,43,9820,467,8,133656214,28170,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",310,410,1,1724351003653,17545.296473723,2024-08-22 14:23:23.653000,-97.5632898,33.1991496,263.501867659988,484971501033039,TX,48497150103,195390124,484971501033039,32862,48497,Wise County,85.46,1,28.887,27.428,229.0,20.0,126.0,12f,interior_plains,central_lowland,osage_plains,12.0,16.0,
