technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,num_seen_cells,cell_tower_distance
4G_LTE,-119,2147483647,-119,-18,-89,2147483647,21,67086,384,15,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
4G_LTE,-111,2147483647,-111,-16,-85,2147483647,29,5145,89,15,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
4G_LTE,-114,2147483647,-114,-13,-91,2147483647,26,67086,89,15,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
4G_LTE,-121,2147483647,-121,-19,-93,2147483647,19,67086,293,15,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
4G_LTE,-107,2147483647,-107,-12,-85,2147483647,33,5145,418,15,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
4G_LTE,-112,2147483647,-112,-17,-85,2147483647,28,5145,356,15,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
4G_LTE,-115,2147483647,-115,-20,-85,2147483647,25,5145,384,15,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,1,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
4G_LTE,-125,2147483647,-125,-20,-79,2147483647,15,66661,384,15,20600086,9888,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
4G_LTE,-114,2147483647,-114,-15,-85,2147483647,26,66661,89,15,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
4G_LTE,-113,2147483647,-113,-17,-85,2147483647,27,5145,293,15,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724692413290,17407.359458203,2024-08-26 13:13:33.290000,-82.9045741,35.5453536,798.007921904369,370879205011037,NC,37087920501,23356369,370879205011037,165209,37087,Haywood County,250.83,4,5.0,
