fips,name,state,county
5113,Polk County,AR,polk county
5115,Pope County,AR,pope county
5117,Prairie County,AR,prairie county
5119,Pulaski County,AR,pulaski county
5121,Randolph County,AR,randolph county
5123,St. Francis County,AR,st. francis county
5125,Saline County,AR,saline county
5127,Scott County,AR,scott county
5129,Searcy County,AR,searcy county
5131,Sebastian County,AR,sebastian county
5133,Sevier County,AR,sevier county
5135,Sharp County,AR,sharp county
5137,Stone County,AR,stone county
5139,Union County,AR,union county
5141,Van Buren County,AR,van buren county
5143,Washington County,AR,washington county
5145,White County,AR,white county
5147,Woodruff County,AR,woodruff county
5149,Yell County,AR,yell county
6000,CALIFORNIA,,california
6001,Alameda County,CA,alameda county
6003,Alpine County,CA,alpine county
6005,Amador County,CA,amador county
6007,Butte County,CA,butte county
6009,Calaveras County,CA,calaveras county
6011,Colusa County,CA,colusa county
6013,Contra Costa County,CA,contra costa county
6015,Del Norte County,CA,del norte county
6017,El Dorado County,CA,el dorado county
6019,Fresno County,CA,fresno county
6021,Glenn County,CA,glenn county
6023,Humboldt County,CA,humboldt county
6025,Imperial County,CA,imperial county
6027,Inyo County,CA,inyo county
6029,Kern County,CA,kern county
6031,Kings County,CA,kings county
6033,Lake County,CA,lake county
6035,Lassen County,CA,lassen county
6037,Los Angeles County,CA,los angeles county
6039,Madera County,CA,madera county
6041,Marin County,CA,marin county
6043,Mariposa County,CA,mariposa county
6045,Mendocino County,CA,mendocino county
6047,Merced County,CA,merced county
6049,Modoc County,CA,modoc county
6051,Mono County,CA,mono county
6053,Monterey County,CA,monterey county
6055,Napa County,CA,napa county
6057,Nevada County,CA,nevada county
6059,Orange County,CA,orange county
6061,Placer County,CA,placer county
6063,Plumas County,CA,plumas county
6065,Riverside County,CA,riverside county
6067,Sacramento County,CA,sacramento county
6069,San Benito County,CA,san benito county
6071,San Bernardino County,CA,san bernardino county
6073,San Diego County,CA,san diego county
6075,San Francisco County,CA,san francisco county
6077,San Joaquin County,CA,san joaquin county
6079,San Luis Obispo County,CA,san luis obispo county
6081,San Mateo County,CA,san mateo county
6083,Santa Barbara County,CA,santa barbara county
6085,Santa Clara County,CA,santa clara county
6087,Santa Cruz County,CA,santa cruz county
6089,Shasta County,CA,shasta county
6091,Sierra County,CA,sierra county
6093,Siskiyou County,CA,siskiyou county
6095,Solano County,CA,solano county
6097,Sonoma County,CA,sonoma county
6099,Stanislaus County,CA,stanislaus county
6101,Sutter County,CA,sutter county
6103,Tehama County,CA,tehama county
6105,Trinity County,CA,trinity county
6107,Tulare County,CA,tulare county
6109,Tuolumne County,CA,tuolumne county
6111,Ventura County,CA,ventura county
6113,Yolo County,CA,yolo county
6115,Yuba County,CA,yuba county
8000,COLORADO,,colorado
8001,Adams County,CO,adams county
8003,Alamosa County,CO,alamosa county
8005,Arapahoe County,CO,arapahoe county
8007,Archuleta County,CO,archuleta county
8009,Baca County,CO,baca county
8011,Bent County,CO,bent county
8013,Boulder County,CO,boulder county
8014,Broomfield County,CO,broomfield county
8015,Chaffee County,CO,chaffee county
8017,Cheyenne County,CO,cheyenne county
8019,Clear Creek County,CO,clear creek county
8021,Conejos County,CO,conejos county
8023,Costilla County,CO,costilla county
8025,Crowley County,CO,crowley county
8027,Custer County,CO,custer county
8029,Delta County,CO,delta county
8031,Denver County,CO,denver county
8033,Dolores County,CO,dolores county
8035,Douglas County,CO,douglas county
8037,Eagle County,CO,eagle county
8039,Elbert County,CO,elbert county
8041,El Paso County,CO,el paso county
8043,Fremont County,CO,fremont county
8045,Garfield County,CO,garfield county
8047,Gilpin County,CO,gilpin county
8049,Grand County,CO,grand county
8051,Gunnison County,CO,gunnison county
8053,Hinsdale County,CO,hinsdale county
8055,Huerfano County,CO,huerfano county
8057,Jackson County,CO,jackson county
8059,Jefferson County,CO,jefferson county
8061,Kiowa County,CO,kiowa county
8063,Kit Carson County,CO,kit carson county
8065,Lake County,CO,lake county
8067,La Plata County,CO,la plata county
8069,Larimer County,CO,larimer county
8071,Las Animas County,CO,las animas county
8073,Lincoln County,CO,lincoln county
8075,Logan County,CO,logan county
8077,Mesa County,CO,mesa county
8079,Mineral County,CO,mineral county
8081,Moffat County,CO,moffat county
8083,Montezuma County,CO,montezuma county
8085,Montrose County,CO,montrose county
8087,Morgan County,CO,morgan county
8089,Otero County,CO,otero county
8091,Ouray County,CO,ouray county
8093,Park County,CO,park county
8095,Phillips County,CO,phillips county
8097,Pitkin County,CO,pitkin county
8099,Prowers County,CO,prowers county
8101,Pueblo County,CO,pueblo county
8103,Rio Blanco County,CO,rio blanco county
8105,Rio Grande County,CO,rio grande county
8107,Routt County,CO,routt county
8109,Saguache County,CO,saguache county
8111,San Juan County,CO,san juan county
8113,San Miguel County,CO,san miguel county
8115,Sedgwick County,CO,sedgwick county
8117,Summit County,CO,summit county
8119,Teller County,CO,teller county
8121,Washington County,CO,washington county
8123,Weld County,CO,weld county
8125,Yuma County,CO,yuma county
9000,CONNECTICUT,,connecticut
9001,Fairfield County,CT,fairfield county
9003,Hartford County,CT,hartford county
9005,Litchfield County,CT,litchfield county
9007,Middlesex County,CT,middlesex county
9009,New Haven County,CT,new haven county
9011,New London County,CT,new london county
9013,Tolland County,CT,tolland county
9015,Windham County,CT,windham county
10000,DELAWARE,,delaware
10001,Kent County,DE,kent county
10003,New Castle County,DE,new castle county
10005,Sussex County,DE,sussex county
11000,DISTRICT OF COLUMBIA,,district of columbia
11001,District of Columbia,DC,district of columbia
12000,FLORIDA,,florida
12001,Alachua County,FL,alachua county
12003,Baker County,FL,baker county
12005,Bay County,FL,bay county
12007,Bradford County,FL,bradford county
12009,Brevard County,FL,brevard county
12011,Broward County,FL,broward county
12013,Calhoun County,FL,calhoun county
12015,Charlotte County,FL,charlotte county
12017,Citrus County,FL,citrus county
12019,Clay County,FL,clay county
12021,Collier County,FL,collier county
12023,Columbia County,FL,columbia county
12027,DeSoto County,FL,desoto county
12029,Dixie County,FL,dixie county
12031,Duval County,FL,duval county
12033,Escambia County,FL,escambia county
12035,Flagler County,FL,flagler county
12037,Franklin County,FL,franklin county
12039,Gadsden County,FL,gadsden county
12041,Gilchrist County,FL,gilchrist county
12043,Glades County,FL,glades county
12045,Gulf County,FL,gulf county
12047,Hamilton County,FL,hamilton county
12049,Hardee County,FL,hardee county
12051,Hendry County,FL,hendry county
12053,Hernando County,FL,hernando county
12055,Highlands County,FL,highlands county
12057,Hillsborough County,FL,hillsborough county
12059,Holmes County,FL,holmes county
12061,Indian River County,FL,indian river county
12063,Jackson County,FL,jackson county
12065,Jefferson County,FL,jefferson county
12067,Lafayette County,FL,lafayette county
12069,Lake County,FL,lake county
12071,Lee County,FL,lee county
12073,Leon County,FL,leon county
12075,Levy County,FL,levy county
12077,Liberty County,FL,liberty county
12079,Madison County,FL,madison county
12081,Manatee County,FL,manatee county
12083,Marion County,FL,marion county
12085,Martin County,FL,martin county
12086,Miami-Dade County,FL,miami-dade county
12087,Monroe County,FL,monroe county
12089,Nassau County,FL,nassau county
12091,Okaloosa County,FL,okaloosa county
12093,Okeechobee County,FL,okeechobee county
12095,Orange County,FL,orange county
12097,Osceola County,FL,osceola county
12099,Palm Beach County,FL,palm beach county
12101,Pasco County,FL,pasco county
12103,Pinellas County,FL,pinellas county
12105,Polk County,FL,polk county
12107,Putnam County,FL,putnam county
12109,St. Johns County,FL,st. johns county
12111,St. Lucie County,FL,st. lucie county
12113,Santa Rosa County,FL,santa rosa county
12115,Sarasota County,FL,sarasota county
12117,Seminole County,FL,seminole county
12119,Sumter County,FL,sumter county
12121,Suwannee County,FL,suwannee county
12123,Taylor County,FL,taylor county
12125,Union County,FL,union county
12127,Volusia County,FL,volusia county
12129,Wakulla County,FL,wakulla county
12131,Walton County,FL,walton county
12133,Washington County,FL,washington county
13000,GEORGIA,,georgia
13001,Appling County,GA,appling county
13003,Atkinson County,GA,atkinson county
13005,Bacon County,GA,bacon county
13007,Baker County,GA,baker county
13009,Baldwin County,GA,baldwin county
13011,Banks County,GA,banks county
13013,Barrow County,GA,barrow county
13015,Bartow County,GA,bartow county
13017,Ben Hill County,GA,ben hill county
13019,Berrien County,GA,berrien county
13021,Bibb County,GA,bibb county
13023,Bleckley County,GA,bleckley county
13025,Brantley County,GA,brantley county
13027,Brooks County,GA,brooks county
13029,Bryan County,GA,bryan county
13031,Bulloch County,GA,bulloch county
13033,Burke County,GA,burke county
13035,Butts County,GA,butts county
13037,Calhoun County,GA,calhoun county
13039,Camden County,GA,camden county
13043,Candler County,GA,candler county
13045,Carroll County,GA,carroll county
13047,Catoosa County,GA,catoosa county
13049,Charlton County,GA,charlton county
13051,Chatham County,GA,chatham county
13053,Chattahoochee County,GA,chattahoochee county
13055,Chattooga County,GA,chattooga county
13057,Cherokee County,GA,cherokee county
13059,Clarke County,GA,clarke county
13061,Clay County,GA,clay county
13063,Clayton County,GA,clayton county
13065,Clinch County,GA,clinch county
13067,Cobb County,GA,cobb county
13069,Coffee County,GA,coffee county
13071,Colquitt County,GA,colquitt county
13073,Columbia County,GA,columbia county
13075,Cook County,GA,cook county
13077,Coweta County,GA,coweta county
13079,Crawford County,GA,crawford county
13081,Crisp County,GA,crisp county
13083,Dade County,GA,dade county
13085,Dawson County,GA,dawson county
13087,Decatur County,GA,decatur county
13089,DeKalb County,GA,dekalb county
13091,Dodge County,GA,dodge county
13093,Dooly County,GA,dooly county
13095,Dougherty County,GA,dougherty county
13097,Douglas County,GA,douglas county
13099,Early County,GA,early county
13101,Echols County,GA,echols county
13103,Effingham County,GA,effingham county
13105,Elbert County,GA,elbert county
13107,Emanuel County,GA,emanuel county
13109,Evans County,GA,evans county
13111,Fannin County,GA,fannin county
13113,Fayette County,GA,fayette county
13115,Floyd County,GA,floyd county
13117,Forsyth County,GA,forsyth county
13119,Franklin County,GA,franklin county
13121,Fulton County,GA,fulton county
13123,Gilmer County,GA,gilmer county
13125,Glascock County,GA,glascock county
13127,Glynn County,GA,glynn county
13129,Gordon County,GA,gordon county
13131,Grady County,GA,grady county
13133,Greene County,GA,greene county
13135,Gwinnett County,GA,gwinnett county
13137,Habersham County,GA,habersham county
13139,Hall County,GA,hall county
13141,Hancock County,GA,hancock county
13143,Haralson County,GA,haralson county
13145,Harris County,GA,harris county
13147,Hart County,GA,hart county
13149,Heard County,GA,heard county
13151,Henry County,GA,henry county
13153,Houston County,GA,houston county
13155,Irwin County,GA,irwin county
13157,Jackson County,GA,jackson county
13159,Jasper County,GA,jasper county
13161,Jeff Davis County,GA,jeff davis county
13163,Jefferson County,GA,jefferson county
13165,Jenkins County,GA,jenkins county
13167,Johnson County,GA,johnson county
13169,Jones County,GA,jones county
13171,Lamar County,GA,lamar county
13173,Lanier County,GA,lanier county
13175,Laurens County,GA,laurens county
13177,Lee County,GA,lee county
13179,Liberty County,GA,liberty county
13181,Lincoln County,GA,lincoln county
13183,Long County,GA,long county
13185,Lowndes County,GA,lowndes county
13187,Lumpkin County,GA,lumpkin county
13189,McDuffie County,GA,mcduffie county
13191,McIntosh County,GA,mcintosh county
13193,Macon County,GA,macon county
13195,Madison County,GA,madison county
13197,Marion County,GA,marion county
13199,Meriwether County,GA,meriwether county
13201,Miller County,GA,miller county
13205,Mitchell County,GA,mitchell county
13207,Monroe County,GA,monroe county
13209,Montgomery County,GA,montgomery county
13211,Morgan County,GA,morgan county
13213,Murray County,GA,murray county
13215,Muscogee County,GA,muscogee county
13217,Newton County,GA,newton county
13219,Oconee County,GA,oconee county
13221,Oglethorpe County,GA,oglethorpe county
13223,Paulding County,GA,paulding county
13225,Peach County,GA,peach county
13227,Pickens County,GA,pickens county
13229,Pierce County,GA,pierce county
13231,Pike County,GA,pike county
13233,Polk County,GA,polk county
13235,Pulaski County,GA,pulaski county
13237,Putnam County,GA,putnam county
13239,Quitman County,GA,quitman county
13241,Rabun County,GA,rabun county
13243,Randolph County,GA,randolph county
13245,Richmond County,GA,richmond county
13247,Rockdale County,GA,rockdale county
13249,Schley County,GA,schley county
13251,Screven County,GA,screven county
13253,Seminole County,GA,seminole county
13255,Spalding County,GA,spalding county
13257,Stephens County,GA,stephens county
13259,Stewart County,GA,stewart county
13261,Sumter County,GA,sumter county
13263,Talbot County,GA,talbot county
13265,Taliaferro County,GA,taliaferro county
13267,Tattnall County,GA,tattnall county
13269,Taylor County,GA,taylor county
13271,Telfair County,GA,telfair county
13273,Terrell County,GA,terrell county
13275,Thomas County,GA,thomas county
13277,Tift County,GA,tift county
13279,Toombs County,GA,toombs county
13281,Towns County,GA,towns county
13283,Treutlen County,GA,treutlen county
13285,Troup County,GA,troup county
13287,Turner County,GA,turner county
13289,Twiggs County,GA,twiggs county
13291,Union County,GA,union county
13293,Upson County,GA,upson county
13295,Walker County,GA,walker county
13297,Walton County,GA,walton county
13299,Ware County,GA,ware county
13301,Warren County,GA,warren county
13303,Washington County,GA,washington county
13305,Wayne County,GA,wayne county
13307,Webster County,GA,webster county
13309,Wheeler County,GA,wheeler county
13311,White County,GA,white county
13313,Whitfield County,GA,whitfield county
13315,Wilcox County,GA,wilcox county
13317,Wilkes County,GA,wilkes county
13319,Wilkinson County,GA,wilkinson county
13321,Worth County,GA,worth county
15000,HAWAII,,hawaii
15001,Hawaii County,HI,hawaii county
15003,Honolulu County,HI,honolulu county
15005,Kalawao County,HI,kalawao county
15007,Kauai County,HI,kauai county
15009,Maui County,HI,maui county
16000,IDAHO,,idaho
16001,Ada County,ID,ada county
16003,Adams County,ID,adams county
16005,Bannock County,ID,bannock county
16007,Bear Lake County,ID,bear lake county
16009,Benewah County,ID,benewah county
16011,Bingham County,ID,bingham county
16013,Blaine County,ID,blaine county
16015,Boise County,ID,boise county
16017,Bonner County,ID,bonner county
16019,Bonneville County,ID,bonneville county
16021,Boundary County,ID,boundary county
16023,Butte County,ID,butte county
16025,Camas County,ID,camas county
16027,Canyon County,ID,canyon county
16029,Caribou County,ID,caribou county
16031,Cassia County,ID,cassia county
16033,Clark County,ID,clark county
16035,Clearwater County,ID,clearwater county
16037,Custer County,ID,custer county
16039,Elmore County,ID,elmore county
16041,Franklin County,ID,franklin county
16043,Fremont County,ID,fremont county
16045,Gem County,ID,gem county
16047,Gooding County,ID,gooding county
16049,Idaho County,ID,idaho county
16051,Jefferson County,ID,jefferson county
16053,Jerome County,ID,jerome county
16055,Kootenai County,ID,kootenai county
16057,Latah County,ID,latah county
16059,Lemhi County,ID,lemhi county
16061,Lewis County,ID,lewis county
16063,Lincoln County,ID,lincoln county
16065,Madison County,ID,madison county
16067,Minidoka County,ID,minidoka county
16069,Nez Perce County,ID,nez perce county
16071,Oneida County,ID,oneida county
16073,Owyhee County,ID,owyhee county
16075,Payette County,ID,payette county
16077,Power County,ID,power county
16079,Shoshone County,ID,shoshone county
16081,Teton County,ID,teton county
16083,Twin Falls County,ID,twin falls county
16085,Valley County,ID,valley county
16087,Washington County,ID,washington county
17000,ILLINOIS,,illinois
17001,Adams County,IL,adams county
17003,Alexander County,IL,alexander county
17005,Bond County,IL,bond county
17007,Boone County,IL,boone county
17009,Brown County,IL,brown county
17011,Bureau County,IL,bureau county
17013,Calhoun County,IL,calhoun county
17015,Carroll County,IL,carroll county
17017,Cass County,IL,cass county
17019,Champaign County,IL,champaign county
17021,Christian County,IL,christian county
17023,Clark County,IL,clark county
17025,Clay County,IL,clay county
17027,Clinton County,IL,clinton county
17029,Coles County,IL,coles county
17031,Cook County,IL,cook county
17033,Crawford County,IL,crawford county
17035,Cumberland County,IL,cumberland county
17037,DeKalb County,IL,dekalb county
17039,De Witt County,IL,de witt county
17041,Douglas County,IL,douglas county
17043,DuPage County,IL,dupage county
17045,Edgar County,IL,edgar county
17047,Edwards County,IL,edwards county
17049,Effingham County,IL,effingham county
17051,Fayette County,IL,fayette county
17053,Ford County,IL,ford county
17055,Franklin County,IL,franklin county
17057,Fulton County,IL,fulton county
17059,Gallatin County,IL,gallatin county
17061,Greene County,IL,greene county
17063,Grundy County,IL,grundy county
17065,Hamilton County,IL,hamilton county
17067,Hancock County,IL,hancock county
17069,Hardin County,IL,hardin county
17071,Henderson County,IL,henderson county
17073,Henry County,IL,henry county
17075,Iroquois County,IL,iroquois county
17077,Jackson County,IL,jackson county
17079,Jasper County,IL,jasper county
17081,Jefferson County,IL,jefferson county
17083,Jersey County,IL,jersey county
17085,Jo Daviess County,IL,jo daviess county
17087,Johnson County,IL,johnson county
17089,Kane County,IL,kane county
17091,Kankakee County,IL,kankakee county
17093,Kendall County,IL,kendall county
17095,Knox County,IL,knox county
17097,Lake County,IL,lake county
17099,LaSalle County,IL,lasalle county
17101,Lawrence County,IL,lawrence county
17103,Lee County,IL,lee county
17105,Livingston County,IL,livingston county
17107,Logan County,IL,logan county
17109,McDonough County,IL,mcdonough county
17111,McHenry County,IL,mchenry county
17113,McLean County,IL,mclean county
17115,Macon County,IL,macon county
17117,Macoupin County,IL,macoupin county
17119,Madison County,IL,madison county
17121,Marion County,IL,marion county
17123,Marshall County,IL,marshall county
17125,Mason County,IL,mason county
17127,Massac County,IL,massac county
17129,Menard County,IL,menard county
17131,Mercer County,IL,mercer county
17133,Monroe County,IL,monroe county
17135,Montgomery County,IL,montgomery county
17137,Morgan County,IL,morgan county
17139,Moultrie County,IL,moultrie county
17141,Ogle County,IL,ogle county
17143,Peoria County,IL,peoria county
17145,Perry County,IL,perry county
17147,Piatt County,IL,piatt county
17149,Pike County,IL,pike county
17151,Pope County,IL,pope county
17153,Pulaski County,IL,pulaski county
17155,Putnam County,IL,putnam county
17157,Randolph County,IL,randolph county
17159,Richland County,IL,richland county
17161,Rock Island County,IL,rock island county
17163,St. Clair County,IL,st. clair county
17165,Saline County,IL,saline county
17167,Sangamon County,IL,sangamon county
17169,Schuyler County,IL,schuyler county
17171,Scott County,IL,scott county
17173,Shelby County,IL,shelby county
17175,Stark County,IL,stark county
17177,Stephenson County,IL,stephenson county
17179,Tazewell County,IL,tazewell county
17181,Union County,IL,union county
17183,Vermilion County,IL,vermilion county
17185,Wabash County,IL,wabash county
17187,Warren County,IL,warren county
17189,Washington County,IL,washington county
17191,Wayne County,IL,wayne county
17193,White County,IL,white county
17195,Whiteside County,IL,whiteside county
17197,Will County,IL,will county
17199,Williamson County,IL,williamson county
17201,Winnebago County,IL,winnebago county
17203,Woodford County,IL,woodford county
18000,INDIANA,,indiana
18001,Adams County,IN,adams county
18003,Allen County,IN,allen county
18005,Bartholomew County,IN,bartholomew county
18007,Benton County,IN,benton county
18009,Blackford County,IN,blackford county
18011,Boone County,IN,boone county
18013,Brown County,IN,brown county
18015,Carroll County,IN,carroll county
18017,Cass County,IN,cass county
18019,Clark County,IN,clark county
18021,Clay County,IN,clay county
18023,Clinton County,IN,clinton county
18025,Crawford County,IN,crawford county
18027,Daviess County,IN,daviess county
18029,Dearborn County,IN,dearborn county
18031,Decatur County,IN,decatur county
18033,DeKalb County,IN,dekalb county
18035,Delaware County,IN,delaware county
18037,Dubois County,IN,dubois county
18039,Elkhart County,IN,elkhart county
18041,Fayette County,IN,fayette county
18043,Floyd County,IN,floyd county
18045,Fountain County,IN,fountain county
18047,Franklin County,IN,franklin county
18049,Fulton County,IN,fulton county
18051,Gibson County,IN,gibson county
18053,Grant County,IN,grant county
18055,Greene County,IN,greene county
18057,Hamilton County,IN,hamilton county
18059,Hancock County,IN,hancock county
18061,Harrison County,IN,harrison county
18063,Hendricks County,IN,hendricks county
18065,Henry County,IN,henry county
18067,Howard County,IN,howard county
18069,Huntington County,IN,huntington county
18071,Jackson County,IN,jackson county
18073,Jasper County,IN,jasper county
18075,Jay County,IN,jay county
18077,Jefferson County,IN,jefferson county
18079,Jennings County,IN,jennings county
18081,Johnson County,IN,johnson county
18083,Knox County,IN,knox county
18085,Kosciusko County,IN,kosciusko county
18087,LaGrange County,IN,lagrange county
18089,Lake County,IN,lake county
18091,LaPorte County,IN,laporte county
18093,Lawrence County,IN,lawrence county
18095,Madison County,IN,madison county
18097,Marion County,IN,marion county
18099,Marshall County,IN,marshall county
18101,Martin County,IN,martin county
18103,Miami County,IN,miami county
18105,Monroe County,IN,monroe county
18107,Montgomery County,IN,montgomery county
18109,Morgan County,IN,morgan county
18111,Newton County,IN,newton county
18113,Noble County,IN,noble county
18115,Ohio County,IN,ohio county
18117,Orange County,IN,orange county
18119,Owen County,IN,owen county
18121,Parke County,IN,parke county
18123,Perry County,IN,perry county
18125,Pike County,IN,pike county
18127,Porter County,IN,porter county
18129,Posey County,IN,posey county
18131,Pulaski County,IN,pulaski county
18133,Putnam County,IN,putnam county
18135,Randolph County,IN,randolph county
18137,Ripley County,IN,ripley county
18139,Rush County,IN,rush county
18141,St. Joseph County,IN,st. joseph county
18143,Scott County,IN,scott county
18145,Shelby County,IN,shelby county
18147,Spencer County,IN,spencer county
18149,Starke County,IN,starke county
18151,Steuben County,IN,steuben county
18153,Sullivan County,IN,sullivan county
18155,Switzerland County,IN,switzerland county
18157,Tippecanoe County,IN,tippecanoe county
18159,Tipton County,IN,tipton county
18161,Union County,IN,union county
18163,Vanderburgh County,IN,vanderburgh county
18165,Vermillion County,IN,vermillion county
18167,Vigo County,IN,vigo county
18169,Wabash County,IN,wabash county
18171,Warren County,IN,warren county
18173,Warrick County,IN,warrick county
18175,Washington County,IN,washington county
18177,Wayne County,IN,wayne county
18179,Wells County,IN,wells county
18181,White County,IN,white county
18183,Whitley County,IN,whitley county
19000,IOWA,,iowa
19001,Adair County,IA,adair county
