technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name
4G_LTE,-102,2147483647,-102,-17,-71,2147483647,38,66661,91,33,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724216312391,30595.092481037,2024-08-21 00:58:32.391000,-108.7362605,36.7723778,1519.41048832835,350459428013147,NM,35045942801,1679581371,350459428013147,1111530,35045,San Juan County
4G_LTE,-105,2147483647,-105,-20,-77,2147483647,35,5145,88,33,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724216312391,30595.092481037,2024-08-21 00:58:32.391000,-108.7362605,36.7723778,1519.41048832835,350459428013147,NM,35045942801,1679581371,350459428013147,1111530,35045,San Juan County
4G_LTE,-104,2147483647,-104,-18,-75,2147483647,36,5145,95,33,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724216312391,30595.092481037,2024-08-21 00:58:32.391000,-108.7362605,36.7723778,1519.41048832835,350459428013147,NM,35045942801,1679581371,350459428013147,1111530,35045,San Juan County
4G_LTE,-99,2147483647,-99,-17,-73,2147483647,41,66911,90,33,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724216312391,30595.092481037,2024-08-21 00:58:32.391000,-108.7362605,36.7723778,1519.41048832835,350459428013147,NM,35045942801,1679581371,350459428013147,1111530,35045,San Juan County
4G_LTE,-99,2147483647,-99,-17,-73,2147483647,41,66911,90,33,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724216312391,30595.092481037,2024-08-21 00:58:32.391000,-108.7362605,36.7723778,1519.41048832835,350459428013147,NM,35045942801,1679581371,350459428013147,1111530,35045,San Juan County
4G_LTE,-98,2147483647,-98,-13,-67,2147483647,42,5145,91,33,1298690,44203,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,320,1,1724216312391,30595.092481037,2024-08-21 00:58:32.391000,-108.7362605,36.7723778,1519.41048832835,350459428013147,NM,35045942801,1679581371,350459428013147,1111530,35045,San Juan County
4G_LTE,-105,2147483647,-105,-19,-75,2147483647,35,66911,89,33,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724216313394,30596.094917443,2024-08-21 00:58:33.394000,-108.7344890387784,36.77222207954546,1515.4109986010865,350459428013146,NM,35045942801,1679581371,350459428013146,174346,35045,San Juan County
4G_LTE,-100,2147483647,-100,-18,-73,2147483647,40,66911,90,33,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724216313394,30596.094917443,2024-08-21 00:58:33.394000,-108.7344890387784,36.77222207954546,1515.4109986010865,350459428013146,NM,35045942801,1679581371,350459428013146,174346,35045,San Juan County
4G_LTE,-105,2147483647,-105,-19,-75,2147483647,35,66911,89,33,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724216313394,30596.094917443,2024-08-21 00:58:33.394000,-108.7344890387784,36.77222207954546,1515.4109986010865,350459428013146,NM,35045942801,1679581371,350459428013146,174346,35045,San Juan County
4G_LTE,-101,2147483647,-101,-15,-73,2147483647,39,66911,88,33,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724216313394,30596.094917443,2024-08-21 00:58:33.394000,-108.7344890387784,36.77222207954546,1515.4109986010865,350459428013146,NM,35045942801,1679581371,350459428013146,174346,35045,San Juan County
